"star_number":"STAR":"Distance (Lightyears)":"STAR TEMPERATURE":"Relative Mass":"RADIUS":"relative luminosity":"stellar type"
155:"Apolakkia":359.733:2916:0.1:0.19:0.01:"M|1|V"
1985:"Pardeau":149.723:2753:0.3:0.1:0.01:"M|1|V"
574:"Cole Harbour":316.492:4134:0.5:0.78:0.1:"K|2|V"
1975:"Palos":134.632:3728:0.8:0.9:0.36:"K|6|V"
2748:"Westerstede":268.316:3858:0.5:0.76:0.39:"K|2|V"
701:"Devin":351.772:5351:0.9:1.04:1.03:"G|4|V"
2286:"Seven Lands":526.169:2958:0.1:0.51:0.04:"M|2|V"
1039:"Halifax":459.445:4167:0.7:0.89:0.12:"K|3|V"
2404:"Steelton":435.374:3256:0.1:0.15:0.01:"M|2|V"
1000:"Great X":341.879:2525:0.2:0.44:0.07:"M|5|V"
2801:"Yongd":329.086:2451:0.3:0.13:0.06:"M|1|V"
1581:"Mandal":56.662:2708:0.3:0.33:0.06:"M|5|V"
109:"Alula Borealis":264.58:2731:0.4:0.33:0.08:"M|2|V"
1302:"Kathil":226.802:3871:0.5:0.8:0.2:"K|5|V"
1245:"Jenet":318.161:2808:0.2:0.48:0.07:"M|3|V"
29:"Adhafera":117.08:2557:0.4:0.43:0.02:"M|5|V"
2825:"Zdice":312.902:3713:0.7:0.87:0.59:"K|7|V"
2125:"Recife":396.695:3771:0.7:0.78:0.52:"K|5|V"
2341:"Simone":541.312:5237:1:1.13:1.19:"G|2|V"
742:"Dromini":69.358:2861:0.2:0.45:0.07:"M|3|V"
1018:"Gulkana":395.82:5530:1:1.11:1.13:"G|2|V"
2501:"Tawas":146.757:4076:0.8:0.85:0.27:"K|5|V"
1149:"Hudeiba":296.021:4174:NA:0.73:0.28:"K|3|V"
1087:"Helland":546.974:4556:0.6:0.89:0.2:"K|0|V"
1330:"Kentwood":627.665:NA:0.5:0.74:0.27:"K|3|V"
520:"Chapineria":488.922:2844:0.3:0.46:0.07:"M|2|V"
470:"Caracol":483.507:3752:0.7:0.83:0.59:"K|7|V"
2883:"Argos":515.823:3081:NA:0.4:0.02:"M|1|V"
1387:"Kokpekty":511.715:2476:NA:0.41:0.07:"M|1|V"
1086:"Helixmar":268.454:5261:0.9:1.02:1.28:"G|3|V"
2880:"Zorn's Keep":443.433:4343:0.5:0.86:0.24:"K|3|V"
1930:"Okefenokee":610.668:3716:0.5:0.96:0.29:"K|3|V"
716:"Dì-fang":297.626:3844:0.5:0.82:0.18:"K|5|V"
1847:"New Sagan":194.789:2857:0.1:0.7:0.02:"M|3|V"
1908:"Nullarbor":296.271:3463:0.1:0.29:0.01:"M|1|V"
894:"Forkas":264.966:5292:0.9:1.05:1.23:"G|3|V"
449:"Camadeierre":456.738:2597:0.4:0.53:0.04:"M|1|V"
2961:"Strana Mechty":1768.104:2691:0.4:0.17:0.04:"M|5|V"
2799:"Yidtall":480.298:4505:0.6:0.94:0.28:"K|3|V"
1664:"Mejicanos":506.009:4918:0.5:0.76:0.2:"K|0|V"
390:"Breukelen":166.583:4717:0.5:0.81:0.4:"K|0|V"
1442:"Lackland":573.445:2457:0.1:0.34:0.03:"M|6|V"
2514:"Tengil":318.66:2563:0.4:0.14:0.06:"M|7|V"
2468:"Talisker":133.4:3176:0.3:0.31:0.01:"M|2|V"
2147:"Revivim":403.721:5392:0.8:1.14:1.26:"G|5|V"
2604:"Turko":248.574:3249:0.2:0.48:0.03:"M|1|V"
908:"Fukuroi":173.854:2600:0.2:0.68:0.04:"M|6|V"
2434:"Summerstide":551.739:2480:0.1:0.35:0.01:"M|1|V"
1954:"Osset":512.002:2976:0.2:0.17:0.05:"M|3|V"
2803:"York":302.048:3215:0.4:0.61:0.02:"M|0|V"
2226:"Sanda":376.883:3938:0.5:0.75:NA:"K|6|V"
1807:"Nekkar":134.329:2966:0.3:0.5:0.06:"M|5|V"
2243:"Sarna":164.359:2426:0.4:0.6:0.08:"M|7|V"
3045:"Argondale":1104.532:NA:0.2:0.48:0.08:"M|3|V"
414:"Buckminster":155.649:2516:0.3:0.64:0.01:"M|5|V"
683:"Dell":336.45:3761:0.6:0.84:0.27:"K|6|V"
1596:"Manteno":202.418:3725:0.5:0.96:0.24:"K|2|V"
2697:"Virtue":408.863:3839:0.7:0.79:0.55:"K|6|V"
1081:"Helbrent":427.121:2500:0.1:0.63:0.05:"M|5|V"
317:"Bethonolog":404.338:NA:0.8:0.93:0.54:"K|6|V"
2168:"Alsace":393.762:2607:0.4:0.61:0.02:"M|5|V"
999:"Great Gorge":560.312:4609:0.7:0.89:0.14:"K|3|V"
